date,kind,count,tokens_spent
2026-03-09,bugfix,5,137530
2026-03-09,change,26,328045
2026-03-09,decision,1,2280
2026-03-09,discovery,90,280259
2026-03-09,feature,12,81290
2026-03-09,refactor,22,191299
2026-03-10,bugfix,34,245342
2026-03-10,change,140,658587
2026-03-10,decision,4,14432
2026-03-10,discovery,268,843825
2026-03-10,feature,27,218176
2026-03-10,refactor,18,249781
2026-03-11,bugfix,38,435326
2026-03-11,change,70,359459
2026-03-11,decision,5,27151
2026-03-11,discovery,311,605298
2026-03-11,feature,55,382051
2026-03-11,refactor,14,140456
2026-03-12,bugfix,21,330515
2026-03-12,change,75,307292
2026-03-12,decision,6,34052
2026-03-12,discovery,275,498762
2026-03-12,feature,49,757164
2026-03-12,refactor,3,154399
2026-03-13,change,7,9980
2026-03-13,discovery,10,12833
2026-03-14,bugfix,7,22176
2026-03-14,change,6,18644
2026-03-14,decision,4,70497
2026-03-14,discovery,55,121885
2026-03-14,feature,8,40473
2026-03-14,refactor,5,18590
2026-03-15,bugfix,6,9512
2026-03-15,change,12,11032
2026-03-15,decision,4,7747
2026-03-15,discovery,43,59330
2026-03-15,feature,12,9633
2026-03-16,bugfix,3,6682
2026-03-16,change,7,11270
2026-03-16,decision,1,2902
2026-03-16,discovery,69,99294
2026-03-16,feature,11,16992
2026-03-16,refactor,2,3041
2026-03-17,bugfix,21,29218
2026-03-17,change,23,37409
2026-03-17,decision,9,23332
2026-03-17,discovery,111,136785
2026-03-17,feature,11,16572
2026-03-17,refactor,5,6848
2026-03-18,bugfix,31,39671
2026-03-18,change,26,35649
2026-03-18,decision,10,15989
2026-03-18,discovery,100,172190
2026-03-18,feature,62,74591
2026-03-18,refactor,3,4637
2026-03-19,bugfix,12,21983
2026-03-19,change,16,33825
2026-03-19,decision,6,13988
2026-03-19,discovery,69,121645
2026-03-19,feature,8,12505
2026-03-20,bugfix,1,3989
2026-03-20,change,10,17028
2026-03-20,decision,3,7808
2026-03-20,discovery,21,48175
2026-03-20,refactor,1,1020
2026-03-21,bugfix,10,10619
2026-03-21,change,10,14097
2026-03-21,decision,3,8798
2026-03-21,discovery,35,63122
2026-03-21,feature,6,5386
2026-03-21,refactor,2,2775
2026-03-23,bugfix,8,17929
2026-03-23,change,8,17173
2026-03-23,decision,9,9318
2026-03-23,discovery,21,56686
2026-03-23,feature,10,13456
2026-03-23,refactor,1,960
