task,condition,pass_pct
capture-open-stage,control,56
capture-open-stage,distractor,11
capture-open-stage,mem-B,100
capture-open-stage,mem-C,100
capture-open-stage,mem-Carc,100
dnsmasq-bak,control,100
dnsmasq-bak,distractor,67
dnsmasq-bak,mem-B,100
dnsmasq-bak,mem-C,100
dnsmasq-bak,mem-Carc,100
gate6-fallback,control,100
gate6-fallback,distractor,44
gate6-fallback,mem-B,100
gate6-fallback,mem-C,78
gate6-fallback,mem-Carc,67
jest-not-ci,control,0
jest-not-ci,distractor,0
jest-not-ci,mem-B,44
jest-not-ci,mem-C,100
jest-not-ci,mem-Carc,33
redis-scriptload,control,44
redis-scriptload,distractor,89
redis-scriptload,mem-B,100
redis-scriptload,mem-C,100
redis-scriptload,mem-Carc,100
win-settings-bom,control,100
win-settings-bom,distractor,22
win-settings-bom,mem-B,100
win-settings-bom,mem-C,100
win-settings-bom,mem-Carc,100
