date,kind,segment,count
2026-05-18,bugfix,A_multiturn,1
2026-05-18,change,A_multiturn,1
2026-05-18,decision,A_multiturn,4
2026-05-18,discovery,A_multiturn,41
2026-05-18,feature,A_multiturn,2
2026-05-18,refactor,A_multiturn,2
2026-05-19,bugfix,A_multiturn,1098
2026-05-19,change,A_multiturn,1769
2026-05-19,decision,A_multiturn,832
2026-05-19,discovery,A_multiturn,11208
2026-05-19,feature,A_multiturn,806
2026-05-19,refactor,A_multiturn,425
2026-05-21,bugfix,A_multiturn,9
2026-05-21,change,A_multiturn,9
2026-05-21,decision,A_multiturn,3
2026-05-21,discovery,A_multiturn,61
2026-05-21,feature,A_multiturn,3
2026-05-22,bugfix,A_multiturn,368
2026-05-22,change,A_multiturn,408
2026-05-22,decision,A_multiturn,199
2026-05-22,discovery,A_multiturn,2482
2026-05-22,feature,A_multiturn,344
2026-05-22,refactor,A_multiturn,227
2026-05-23,bugfix,A_multiturn,590
2026-05-23,change,A_multiturn,248
2026-05-23,decision,A_multiturn,237
2026-05-23,discovery,A_multiturn,2066
2026-05-23,feature,A_multiturn,646
2026-05-23,refactor,A_multiturn,811
2026-05-23,security_alert,A_multiturn,21
2026-05-23,security_note,A_multiturn,25
2026-05-24,bugfix,A_multiturn,414
2026-05-24,change,A_multiturn,95
2026-05-24,decision,A_multiturn,108
2026-05-24,discovery,A_multiturn,1046
2026-05-24,feature,A_multiturn,356
2026-05-24,refactor,A_multiturn,501
2026-05-24,security_alert,A_multiturn,18
2026-05-24,security_note,A_multiturn,18
2026-05-25,bugfix,A_multiturn,470
2026-05-25,change,A_multiturn,73
2026-05-25,decision,A_multiturn,93
2026-05-25,discovery,A_multiturn,1089
2026-05-25,feature,A_multiturn,327
2026-05-25,refactor,A_multiturn,497
2026-05-25,security_alert,A_multiturn,9
2026-05-25,security_note,A_multiturn,6
2026-05-26,bugfix,A_multiturn,504
2026-05-26,change,A_multiturn,156
2026-05-26,decision,A_multiturn,212
2026-05-26,discovery,A_multiturn,2253
2026-05-26,feature,A_multiturn,810
2026-05-26,refactor,A_multiturn,1176
2026-05-26,security_alert,A_multiturn,14
2026-05-26,security_note,A_multiturn,13
2026-05-27,bugfix,A_multiturn,309
2026-05-27,change,A_multiturn,91
2026-05-27,decision,A_multiturn,116
2026-05-27,discovery,A_multiturn,1062
2026-05-27,feature,A_multiturn,336
2026-05-27,refactor,A_multiturn,487
2026-05-27,security_alert,A_multiturn,25
2026-05-27,security_note,A_multiturn,25
2026-05-28,bugfix,A_multiturn,23
2026-05-28,change,A_multiturn,25
2026-05-28,decision,A_multiturn,27
2026-05-28,discovery,A_multiturn,239
2026-05-28,feature,A_multiturn,138
2026-05-28,refactor,A_multiturn,58
2026-05-28,security_alert,A_multiturn,9
2026-05-28,security_note,A_multiturn,6
2026-06-01,manual,A_multiturn,1
2026-06-01,refactor,A_multiturn,2
2026-06-03,bugfix,A_multiturn,1
2026-06-03,change,A_multiturn,1
2026-06-04,bugfix,A_multiturn,11
2026-06-04,change,A_multiturn,7
2026-06-04,decision,A_multiturn,17
2026-06-04,discovery,A_multiturn,74
2026-06-04,feature,A_multiturn,19
2026-06-04,refactor,A_multiturn,3
2026-06-04,security_note,A_multiturn,1
2026-06-05,bugfix,B_singleshot,54
2026-06-05,bugfix,A_multiturn,94
2026-06-05,change,A_multiturn,103
2026-06-05,change,B_singleshot,60
2026-06-05,decision,A_multiturn,131
2026-06-05,decision,B_singleshot,23
2026-06-05,discovery,A_multiturn,551
2026-06-05,discovery,B_singleshot,474
2026-06-05,feature,A_multiturn,102
2026-06-05,feature,B_singleshot,68
2026-06-05,refactor,A_multiturn,17
2026-06-05,refactor,B_singleshot,25
2026-06-05,security_alert,B_singleshot,32
2026-06-05,security_alert,A_multiturn,21
2026-06-05,security_note,A_multiturn,18
2026-06-05,security_note,B_singleshot,18
2026-06-06,bugfix,B_singleshot,337
2026-06-06,change,B_singleshot,501
2026-06-06,decision,B_singleshot,263
2026-06-06,discovery,B_singleshot,2211
2026-06-06,feature,B_singleshot,410
2026-06-06,refactor,B_singleshot,78
2026-06-06,security_alert,B_singleshot,165
2026-06-06,security_note,B_singleshot,79
2026-06-07,bugfix,B_singleshot,306
2026-06-07,change,B_singleshot,388
2026-06-07,decision,B_singleshot,90
2026-06-07,discovery,B_singleshot,1997
2026-06-07,feature,B_singleshot,283
2026-06-07,refactor,B_singleshot,137
2026-06-07,security_alert,B_singleshot,95
2026-06-07,security_note,B_singleshot,31
2026-06-08,bugfix,B_singleshot,109
2026-06-08,change,B_singleshot,187
2026-06-08,decision,B_singleshot,108
2026-06-08,discovery,B_singleshot,1479
2026-06-08,feature,B_singleshot,133
2026-06-08,refactor,B_singleshot,104
2026-06-08,security_alert,B_singleshot,38
2026-06-08,security_note,B_singleshot,22
