arm,session,obs,pat_arch,pct,first_day
C-prime,ca9938a6-b6cb-4db2-a466-f2d22f4efdf4,35,0,0.0,2026-06-12
C-prime,bae21149-dbdf-4850-b0b7-2b69de2a34f4,8,0,0.0,2026-06-12
C-prime,e083c653-bbe0-44ca-9230-bbe259abf587,1,0,0.0,2026-06-12
C-prime,9b0f630b-9b44-4e2a-8504-3efff481864b,4,0,0.0,2026-06-13
C-prime,22839f51-29e9-4f31-b781-ad13ba525714,11,0,0.0,2026-06-13
C-prime,2cf7bcd2-e2b7-47f1-988f-6ad991586117,12,0,0.0,2026-06-13
C-prime,72292196-fd7f-4461-b3e5-bfdc07f1e879,2,0,0.0,2026-06-13
C-prime,ff32391d-b58e-4735-9b3d-6e5598bba8e8,13,0,0.0,2026-06-14
C-prime,d0bad696-25eb-41a1-aba5-da9b8dc0318b,7,0,0.0,2026-06-14
C-prime,be9db646-70d5-4db6-aaf7-99a5566cab5b,9,0,0.0,2026-06-15
C-prime,c4888b6b-3204-4811-aff5-e490bb3bfdf3,2,0,0.0,2026-06-15
C-prime,b478127a-57bc-4c6e-a42c-bef7cd2eec26,26,1,3.8,2026-06-15
C-prime,d85cb58c-6bb7-496e-b04e-baa019d5daba,3,0,0.0,2026-06-15
C-prime,5ae79f5e-ebfe-468f-aa0f-32b4112d8953,7,0,0.0,2026-06-15
C-prime,99205d0d-f4f0-45de-b437-a1362695016a,10,0,0.0,2026-06-15
C-prime,dd06eff8-700c-449c-a961-1c1201d5c2b1,4,0,0.0,2026-06-16
C-prime,031541a7-26bd-4cec-9576-c1ed6313cade,5,0,0.0,2026-06-16
C-prime,add8bab6-7fb1-46f9-ad8f-ba91180ed85a,7,0,0.0,2026-06-16
C-prime,4085170d-095c-4883-8e64-39a8724e820b,1,0,0.0,2026-06-17
C-prime,89ac83f8-f373-4dca-b204-fb7594d4735f,8,0,0.0,2026-06-17
C-prime,d4dcef45-12a9-4c75-b57f-f65d4248447a,28,0,0.0,2026-06-18
C-prime,22d5ab37-15c9-4294-b2c5-b632ea3ac5f9,11,0,0.0,2026-06-18
C-prime,80dfdac3-7b00-463a-9ab4-ffa32d644719,4,0,0.0,2026-06-18
C-prime,10d6b401-894e-4e9b-bd2b-c8b21fc47552,4,0,0.0,2026-06-19
C-prime,aee32aa2-02db-442b-a6f1-bb876b89e703,7,0,0.0,2026-06-19
C-prime,082cfcdf-a735-41cb-a0cd-a487a9392053,2,0,0.0,2026-06-19
C-prime,10bce844-fa25-4eec-997e-5da43e6322ae,4,0,0.0,2026-06-19
C-prime,f43b22be-fe54-443c-aa0b-2b93c904b02d,2,0,0.0,2026-06-20
C-prime,8ac0aeab-d9ff-47b0-958b-c73af0c3c1f3,2,0,0.0,2026-06-20
C-prime,bcb5f679-5060-4f95-b2df-75b0f5ae3342,8,0,0.0,2026-06-21
C-prime,d5ab9ec5-e5aa-49c7-a729-49af4532c2cf,6,0,0.0,2026-06-22
C-prime,3fff28c2-f439-4a36-a19a-787019bc7f46,1,0,0.0,2026-06-22
C-prime,9fdc0e1d-b1e0-4aa0-9a8e-20fd7318b501,2,0,0.0,2026-06-23
C-prime,bacf6a81-e568-48b4-98ce-8e27679e9d30,1,0,0.0,2026-06-23
C-prime,ef2be84e-5567-4a49-a722-0d90fc1b9b6e,8,0,0.0,2026-06-24
C-prime,8cc85851-702f-4434-9e75-09f05e48718e,2,0,0.0,2026-06-24
C-prime,66c52cfe-de32-42f0-adc1-55728975a7fb,3,0,0.0,2026-06-25
C-prime,1ae39f5b-5dab-48bd-aba7-656b08064146,2,0,0.0,2026-06-25
C-prime,195c17e1-e1ab-4769-8128-722b944f8d9d,6,1,16.7,2026-06-25
C-prime,b3c9269b-36ef-4aea-9ff1-10c39c0eba7f,2,0,0.0,2026-06-26
C-prime,53124ce8-e944-449b-a567-b79bf24ad83b,2,0,0.0,2026-06-26
C-prime,3f2ce4da-9ffc-4c29-a628-60ab2a948d4a,6,0,0.0,2026-06-26
C-prime,77f9383c-5435-436c-a8dd-c6db77c5edab,1,0,0.0,2026-06-26
C-prime,82c28052-755d-41ea-8fe1-dad323a0282c,3,0,0.0,2026-06-27
C-prime,11b18b64-7db5-4ce6-8fb5-648a9a332350,13,0,0.0,2026-06-27
C-prime,ad72027b-fabc-421d-a638-9a7f019c557d,3,0,0.0,2026-06-28
C-prime,d37d1fb5-35ee-4cba-997c-6b56d7201909,2,0,0.0,2026-06-28
C-prime,7ab40915-de52-475e-ae4c-9cbfaeaae445,2,0,0.0,2026-06-28
C-prime-arc,ba52feaf-2713-4aaf-804e-ecb0a606b456,3,3,100.0,2026-06-25
C-prime-arc,b498075f-4295-44b6-b8e4-a3285d4756e4,2,1,50.0,2026-06-26
C-prime-arc,ad72027b-fabc-421d-a638-9a7f019c557d,3,3,100.0,2026-06-29
C-prime-arc,4151100e-9e62-4458-873f-79819360783e,3,3,100.0,2026-06-29
C-prime-arc,f1a1fb31-400f-49cc-ae8b-3f43bcc858dc,7,5,71.4,2026-06-29
C-prime-arc,8d9ff3d2-7ad2-45ef-be52-f6b1f0f93e31,7,1,14.3,2026-07-01
C-prime-arc,384707f8-bb39-45d3-9b69-90623cb455a9,4,3,75.0,2026-07-01
